policy_name,round_number,customer_id,segment,action_id,converted,revenue,cost,reward,p_convert,simulation_id,action_name,cumulative_reward
random_uniform,1,51,Lost,1,False,0.0,0.1,-0.1,0.1958,baseline_eval_seed42_random_uniform,discount_10,-0.1
random_uniform,2,230,Loyal,3,False,0.0,0.3,-0.3,0.3097,baseline_eval_seed42_random_uniform,product_recommendation,-0.4
random_uniform,3,174,Lost,0,False,0.0,0.0,0.0,0.2515,baseline_eval_seed42_random_uniform,no_action,-0.4
random_uniform,4,333,Lost,1,True,71.79,7.18,64.62,0.3646,baseline_eval_seed42_random_uniform,discount_10,64.22
random_uniform,5,125,Loyal,3,False,0.0,0.3,-0.3,0.2073,baseline_eval_seed42_random_uniform,product_recommendation,63.92
random_uniform,6,16,Loyal,3,False,0.0,0.3,-0.3,0.4741,baseline_eval_seed42_random_uniform,product_recommendation,63.62
random_uniform,7,222,Champion,0,False,0.0,0.0,0.0,0.21,baseline_eval_seed42_random_uniform,no_action,63.62
random_uniform,8,81,Loyal,0,True,59.9,0.0,59.9,0.1282,baseline_eval_seed42_random_uniform,no_action,123.52
random_uniform,9,347,Lost,0,False,0.0,0.0,0.0,0.168,baseline_eval_seed42_random_uniform,no_action,123.52
random_uniform,10,313,At-Risk,3,False,0.0,0.3,-0.3,0.3598,baseline_eval_seed42_random_uniform,product_recommendation,123.22
random_uniform,11,382,Lost,4,False,0.0,0.2,-0.2,0.1695,baseline_eval_seed42_random_uniform,bundle_offer,123.02
random_uniform,12,197,Lost,4,False,0.0,0.2,-0.2,0.1242,baseline_eval_seed42_random_uniform,bundle_offer,122.82
random_uniform,13,210,Loyal,0,False,0.0,0.0,0.0,0.3932,baseline_eval_seed42_random_uniform,no_action,122.82
random_uniform,14,392,Champion,0,True,111.67,0.0,111.67,0.3531,baseline_eval_seed42_random_uniform,no_action,234.49
random_uniform,15,227,At-Risk,3,False,0.0,0.3,-0.3,0.3135,baseline_eval_seed42_random_uniform,product_recommendation,234.19
random_uniform,16,147,Champion,3,False,0.0,0.3,-0.3,0.3169,baseline_eval_seed42_random_uniform,product_recommendation,233.89
random_uniform,17,262,Loyal,0,False,0.0,0.0,0.0,0.4238,baseline_eval_seed42_random_uniform,no_action,233.89
random_uniform,18,367,Lost,3,True,73.3,0.3,73.0,0.3417,baseline_eval_seed42_random_uniform,product_recommendation,306.89
